,latest,prediction,rate,real_price,real_rate,accurate
中国石化,6.48,6.420828342437744,-0.0091314286361506,6.48,0.0,0
中信证券,19.31,19.32163429260254,0.0006025009115764,19.31,0.0,0
三一重工,16.24,15.99532413482666,-0.0150662478555011,16.24,0.0,0
招商银行,31.39,30.923480987548828,-0.0148620265196295,31.39,0.0,0
保利发展,8.08,7.600363731384277,-0.059360924333629,8.08,0.0,0
中国联通,4.49,4.4887471199035645,-0.0002790378833932,4.49,0.0,0
特变电工,11.96,11.97707176208496,0.001427404856602,11.96,0.0,0
上汽集团,11.89,11.709158897399902,-0.0152095124138014,11.89,0.0,0
中国船舶,33.9,35.055274963378906,0.0340789074743039,33.9,0.0,0
恒瑞医药,42.71,44.75507354736328,0.0478827803175667,42.71,0.0,0
万华化学,75.65,74.40547943115234,-0.0164510319741925,75.65,0.0,0
国电南瑞,25.64,25.7740421295166,0.005227852165234,25.64,0.0,0
片仔癀,197.77,197.2748565673828,-0.0025036326673266,197.77,0.0,0
通威股份,17.43,18.25130653381348,0.0471202830644565,17.43,0.0,0
贵州茅台,1261.54,1238.2281494140625,-0.0184788834170438,1261.54,0.0,0
海尔智家,27.48,26.535585403442383,-0.0343673433972931,27.48,0.0,0
山西汾酒,154.48,150.46376037597656,-0.0259984439670082,154.48,0.0,0
伊利股份,21.89,22.026611328125,0.0062408098732298,21.89,0.0,0
长江电力,28.2,28.25840187072754,0.0020709883236715,28.2,0.0,0
中国移动,101.05,100.92501068115234,-0.0012369056788485,101.05,0.0,0
隆基绿能,12.73,13.312292098999023,0.0457417202670089,12.73,0.0,0
中国神华,39.1,38.350318908691406,-0.0191734294452325,39.1,0.0,0
兴业银行,16.56,16.165687561035156,-0.0238111376186499,16.56,0.0,0
陕西煤业,23.95,23.45956420898437,-0.0204774860549321,23.95,0.0,0
农业银行,4.62,4.505459308624268,-0.0247923574406347,4.62,0.0,0
中国平安,44.09,43.45299530029297,-0.0144478271650495,44.09,0.0,0
交通银行,6.68,6.583340167999268,-0.0144700347306485,6.68,0.0,0
中国中铁,5.18,5.0441765785217285,-0.0262207377371179,5.18,0.0,0
工商银行,5.72,5.616907119750977,-0.0180232308127662,5.72,0.0,0
中国太保,30.71,30.209068298339844,-0.0163116802885104,30.71,0.0,0
中国人寿,35.53,34.85446548461914,-0.0190130738919465,35.53,0.0,0
长城汽车,24.1,23.85091209411621,-0.010335597754514,24.1,0.0,0
邮储银行,4.76,4.678723812103272,-0.0170748293900689,4.76,0.0,0
中国建筑,4.95,4.930892467498779,-0.0038601075760041,4.95,0.0,0
中国电建,4.5,4.393635749816895,-0.02363650004069,4.5,0.0,0
中国电信,6.06,6.013710021972656,-0.0076386102355352,6.06,0.0,0
中国石油,8.01,8.045211791992188,0.0043959790252419,8.01,0.0,0
中国中免,54.3,54.18447113037109,-0.0021276034922449,54.3,0.0,0
紫金矿业,15.82,15.826231002807615,0.0003938686983322,15.82,0.0,0
中远海控,13.25,12.368725776672363,-0.0665112621379349,13.25,0.0,0
中国核电,10.12,9.878748893737791,-0.0238390421207713,10.12,0.0,0
中国银行,4.69,4.61962366104126,-0.0150056159826739,4.69,0.0,0
药明康德,41.75,40.02480697631836,-0.0413219885911769,41.75,0.0,0
海天味业,36.28,36.24672317504883,-0.0009172222974414,36.28,0.0,0
韦尔股份,82.7,84.41935729980469,0.02079029383077,82.7,0.0,0
兆易创新,65.13,64.58273315429688,-0.0084026845647646,65.13,0.0,0
中微公司,117.3,123.022216796875,0.0487827518915175,117.3,0.0,0
海光信息,75.51,75.77894592285156,0.0035617259018878,75.51,0.0,0
金山办公,184.33,181.5408477783203,-0.0151312983327711,184.33,0.0,0
中芯国际,43.43,43.994571685791016,0.012999578305112,43.43,0.0,0
